name,PLD(A),LCD(A),surfacearea[m^2/g],Porosity,Density(gr/cm3),%C,%F,%H,%N,%O,%S,%Si
linker100_C_linker44_C_qtz_relaxed,12.3677,13.43716,3173.94,0.710599,0.504715,50,0,36.111111,5.555556,8.333333,0,0
linker100_C_linker45_C_dei-z_relaxed_interp_2,10.87146,12.64558,3283.77,0.690923,0.564729,58.333333,0,29.166667,8.333333,4.166667,0,0
linker100_C_linker45_C_dia_relaxed,8.37463,10.3853,5762.2,0.792696,0.439516,58.333333,0,29.166667,8.333333,4.166667,0,0
linker100_C_linker45_C_kgm_relaxed,15.62014,17.71704,3405.32,0.726771,0.467306,58.333333,0,29.166667,8.333333,4.166667,0,0
linker100_C_linker45_C_lvt_relaxed_interp_2,5.26324,8.83803,3763.94,0.707161,0.602837,58.333333,0,29.166667,8.333333,4.166667,0,0
linker100_C_linker46_C_dia_relaxed,8.00417,10.37349,5195.64,0.753679,0.465968,55.555556,0,33.333333,7.407407,3.703704,0,0
linker100_C_linker46_C_gis_relaxed,9.41702,11.99284,5519.02,0.792607,0.403796,55.555556,0,33.333333,7.407407,3.703704,0,0
linker100_C_linker46_C_kgm_relaxed,15.63447,17.69571,2970.59,0.694533,0.497258,55.555556,0,33.333333,7.407407,3.703704,0,0
linker100_C_linker47_C_gis_relaxed,9.13298,11.85863,4500.14,0.785639,0.461346,60,0,30,6.666667,3.333333,0,0
linker100_C_linker47_C_kgm_relaxed,13.08934,15.38337,2959.07,0.712574,0.569017,60,0,30,6.666667,3.333333,0,0
linker100_C_linker48_C_dia_relaxed,7.38284,10.03221,4703.42,0.707404,0.496184,53.333333,0,36.666667,6.666667,3.333333,0,0
linker100_C_linker48_C_gis_relaxed,8.91856,11.57419,4905.08,0.760057,0.429224,53.333333,0,36.666667,6.666667,3.333333,0,0
linker100_C_linker48_C_kgm_relaxed,15.68395,17.16632,2652.54,0.661722,0.524924,53.333333,0,36.666667,6.666667,3.333333,0,0
linker100_C_linker48_C_mer_relaxed,11.50519,18.58171,5333.83,0.77759,0.40128,53.333333,0,36.666667,6.666667,3.333333,0,0
linker100_C_linker49_C_dia_relaxed,7.85547,10.30895,5443.24,0.779017,0.471311,56,0,28,8,8,0,0
linker100_C_linker49_C_kgm_relaxed,15.61169,17.72418,3041.12,0.705337,0.501161,56,0,28,8,8,0,0
linker100_C_linker5_C_dia_relaxed,8.46009,10.07194,6327.4,0.76439,0.391281,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker5_C_gis_relaxed,10.02075,16.0516,5816.12,0.789562,0.337438,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker5_C_kgm_relaxed,15.62545,16.86993,4330.63,0.724742,0.413953,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker5_C_lvt_relaxed_interp_2,5.27107,8.64367,4417.82,0.671352,0.534054,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker50_C_dia_relaxed,7.76744,9.68497,4821.27,0.720738,0.496331,51.724138,0,34.482759,10.344828,3.448276,0,0
linker100_C_linker50_C_gis_relaxed,8.83594,11.90628,5060.82,0.766058,0.430534,51.724138,0,34.482759,10.344828,3.448276,0,0
linker100_C_linker50_C_kgm_relaxed,13.305,15.61072,3374.83,0.712746,0.524607,51.724138,0,34.482759,10.344828,3.448276,0,0
linker100_C_linker51_C_kgm_relaxed,15.07776,16.97318,2437.52,0.669652,0.572958,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker51_C_mer_relaxed,9.41748,18.29188,4849.69,0.75216,0.441917,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker51_C_qtz_relaxed,12.03081,13.0954,4119.41,0.739634,0.456326,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker52_C_gis_relaxed,8.88779,11.40361,5072.6,0.770498,0.433367,53.571429,0,32.142857,7.142857,7.142857,0,0
linker100_C_linker52_C_kgm_relaxed,14.23785,15.76976,2911.04,0.617605,0.528108,53.571429,0,32.142857,7.142857,7.142857,0,0
linker100_C_linker53_C_gis_relaxed,7.1197,10.6722,4243.57,0.69112,0.479023,50,0,41.666667,5.555556,2.777778,0,0
linker100_C_linker54_C_gis_relaxed,8.84794,11.42435,4362.17,0.776293,0.483276,53.571429,0,25,7.142857,14.285714,0,0
linker100_C_linker54_C_kgm_relaxed,15.01083,16.41252,2368.43,0.652135,0.591612,53.571429,0,25,7.142857,14.285714,0,0
linker100_C_linker54_C_mer_relaxed,11.83476,18.78535,4631.14,0.795893,0.452761,53.571429,0,25,7.142857,14.285714,0,0
linker100_C_linker57_C_dia_relaxed,8.65804,10.50024,5104.79,0.78067,0.47101,56,0,28,8,8,0,0
linker100_C_linker57_C_kgm_relaxed,15.61656,17.68665,3137.08,0.740725,0.501191,56,0,28,8,8,0,0
linker100_C_linker58_C_dei_relaxed_interp_2,8.26149,11.04798,4521.36,0.794035,0.452141,55.555556,0,27.777778,11.111111,5.555556,0,0
linker100_C_linker58_C_dei-z_relaxed_interp_2,11.36155,13.31832,4721.57,0.79973,0.445706,55.555556,0,27.777778,11.111111,5.555556,0,0
linker100_C_linker58_C_lvt_relaxed_interp_2,6.85557,12.52789,4534.95,0.782229,0.484085,55.555556,0,27.777778,11.111111,5.555556,0,0
linker100_C_linker58_C_tcb_relaxed,6.2617,7.1897,1150.61,0.459956,0.839702,55.555556,0,27.777778,11.111111,5.555556,0,0
linker100_C_linker58_C_umc_relaxed_interp_2,11.62349,15.41183,4173.77,0.793117,0.422533,55.555556,0,27.777778,11.111111,5.555556,0,0
linker100_C_linker58_C_umc_relaxed_interp_3,7.72116,9.27189,2867.93,0.655065,0.633799,55.555556,0,27.777778,11.111111,5.555556,0,0
linker100_C_linker59_C_dei-z_relaxed_interp_2,11.24348,13.24448,4375.1,0.7321,0.4823,52.380952,0,33.333333,9.52381,4.761905,0,0
linker100_C_linker59_C_kgm_relaxed,15.39256,17.33286,5320.53,0.795919,0.398647,52.380952,0,33.333333,9.52381,4.761905,0,0
linker100_C_linker59_C_lvt_relaxed_interp_2,5.53172,10.04859,4602.15,0.739138,0.524041,52.380952,0,33.333333,9.52381,4.761905,0,0
linker100_C_linker59_C_nfa_relaxed,11.8459,14.18186,4731.75,0.796728,0.417679,52.380952,0,33.333333,9.52381,4.761905,0,0
linker100_C_linker59_C_nfc_relaxed,6.62192,8.63469,5227.83,0.753945,0.525001,52.380952,0,33.333333,9.52381,4.761905,0,0
linker100_C_linker59_C_umd_relaxed_interp_2,9.76,12.33495,5206.13,0.767579,0.448287,52.380952,0,33.333333,9.52381,4.761905,0,0
linker100_C_linker6_C_gis_relaxed,9.48302,13.85573,4612.52,0.784287,0.442861,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker6_C_kgm_relaxed,13.81446,16.40723,3065.56,0.712763,0.548571,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker6_C_mer_relaxed,13.86454,16.41862,4281.72,0.789444,0.418464,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker60_C_dia_relaxed,9.26778,10.14241,6438.99,0.767339,0.403156,50,0,37.5,8.333333,4.166667,0,0
linker100_C_linker60_C_gis_relaxed,9.92651,15.19196,5707.02,0.796664,0.348397,50,0,37.5,8.333333,4.166667,0,0
linker100_C_linker60_C_kgm_relaxed,15.47522,16.80339,4139.24,0.720525,0.422658,50,0,37.5,8.333333,4.166667,0,0
